task_id,task_name,status,agent_owner,priority,dependencies,notes,created_date,updated_date,estimated_effort,actual_effort
TASK-001,Project initialization and architecture documentation review,Completed,Scrum Master,High,,Reviewed update_notes.json to understand current state: dual Raspberry Pi Pico 2W Master-Slave architecture already implemented. Master handles keyboard capture (GP2/GP3 I2C1 for TCA8418). Slave handles display refresh (GP10/GP11 SPI1 for Waveshare 4.2 inch). UART communication at 115200 baud on GP8/GP9. Migration from ESP32-S3 completed in Update 2. Current focus: optimize dual-core usage within each Pico and implement async to prevent blocking.,2025-10-15,2025-10-15,Small,30min
TASK-002,Analyze existing codebase structure and identify blocking operations,Completed,Code Architect,High,TASK-001,"Analyzed main.py variants: (1) main.py - standard blocking version, (2) main_improved.py - duplicate of main.py, (3) main_optimized.py - uses _thread for display worker thread with queue-based updates. Master (rpi1/main.py) runs keyboard scanning in tight loop with UART commands sent to slave. Slave (rpi2/main.py) receives UART commands and renders display. Blocking operations identified: (a) Display refresh in slave main loop, (b) File I/O operations in master, (c) WiFi uploads in master, (d) Keyboard scanning tight loop in master. Opportunity: leverage second core in each Pico for parallel processing.",2025-10-15,2025-10-15,Medium,1hr
TASK-003,Review Raspberry Pi Pico 2W (RP2350) hardware specifications and dual-core capabilities,Completed,Hardware Specialist,High,TASK-001,"RP2350 processor features: Dual Cortex-M33 cores at 150MHz, 520KB SRAM, hardware floating point, PIO state machines, DMA controllers. MicroPython on RP2 supports _thread module for multicore programming. Core 0 runs main script by default. Core 1 can be started with _thread.start_new_thread(). Shared memory between cores with lock primitives available. Best practices: use core affinity, minimize lock contention, use message passing for inter-core communication. Async with uasyncio also available but threading preferred for I/O-bound tasks on RP2350.",2025-10-15,2025-10-15,Medium,45min
TASK-004,Document current pin assignments and hardware connections,Completed,Hardware Specialist,Medium,TASK-003,"Master Pico (rpi1): TCA8418 keyboard on I2C1 (GP2 SDA / GP3 SCL / GP20 INT / GP21 RST), UART to Slave on GP8 TX / GP9 RX. Slave Pico (rpi2): Waveshare 4.2 inch e-ink on SPI1 (GP10 SCK / GP11 MOSI / GP13 CS / GP14 DC / GP15 RST / GP16 BUSY), UART from Master on GP9 TX / GP8 RX. Power management: Master controls lightsleep after 2min screensaver and 5min auto-off. Both Picos share ground. Reference document: ESP32_to_Pico2W_Pinout_Conversion.md contains complete migration mapping.",2025-10-15,2025-10-15,Small,30min
TASK-005,Design dual-core architecture strategy for Master Pico,In Progress,System Architect,Critical,TASK-002,"DESIGN: Core 0 (Master) - Keyboard scanning loop with TCA8418, processes keypresses, maintains text buffer, manages file operations. Core 1 (Master) - Background file I/O (auto-save every 2s), WiFi operations (Todoist upload, file transfer), garbage collection. Communication via thread-safe queue for file save requests and upload commands. Benefits: keyboard scanning never blocked by slow file writes or network operations. Locks needed for: text_buffer access, file_dirty flag, ACTIVE_FILE path. Lock-free design for keyboard input to Core 0 queue ensures zero latency.",2025-10-15,2025-10-15,Large,
TASK-006,Design dual-core architecture strategy for Slave Pico,Pending,System Architect,Critical,TASK-002,"DESIGN: Core 0 (Slave) - UART command receiver, command parser, manages display state, handles power management. Core 1 (Slave) - Display rendering worker, processes render queue with throttling, executes actual e-ink refresh operations, manages display busy states. Communication via thread-safe queue for render commands. Benefits: UART processing never blocked by 1.5s display refresh cycles. Slave can queue multiple updates and deduplicate/throttle intelligently. Locks needed for: display buffer access, command acknowledgment. Priority system: POWER_OFF/WAKE_UP highest, RENDER_TEXT with cursor medium, SCREENSAVER low.",2025-10-15,2025-10-15,Large,
TASK-007,Design async operation patterns using uasyncio,Pending,System Architect,High,TASK-005,"DESIGN: Evaluate uasyncio for high-level coordination in Master. Async tasks: (1) keyboard_scan_task() - reads TCA8418 events without blocking, (2) text_processing_task() - handles character insertion/deletion, (3) display_command_task() - sends UART commands to Slave, (4) file_save_task() - periodic auto-save, (5) power_management_task() - tracks idle time and triggers screensaver/sleep. Event-driven design with asyncio queues instead of thread locks where possible. Hybrid approach: threading for Core 1 background work, asyncio for Core 0 event coordination. Simpler than pure threading and more pythonic for I/O coordination.",2025-10-15,2025-10-15,Large,
TASK-008,Create detailed implementation plan with task breakdown,Completed,Scrum Master,High,TASK-005,"Implementation phases: PHASE 1 - Core infrastructure (queue system, lock primitives, thread lifecycle management). PHASE 2 - Master Pico dual-core implementation (Core 0: keyboard+text, Core 1: file I/O). PHASE 3 - Slave Pico dual-core implementation (Core 0: UART receiver, Core 1: display rendering). PHASE 4 - Async refactoring for Master using uasyncio. PHASE 5 - Integration testing and performance validation. PHASE 6 - Optimization and polish. Each phase has specific tasks with dependencies tracked in this CSV. Total estimated timeline: 2-3 weeks for full implementation and testing.",2025-10-15,2025-10-15,Medium,1hr
TASK-009,Implement thread-safe queue system for Master Pico inter-core communication,Pending,Core Developer,High,TASK-005,"Implement FileOperationQueue class with methods: enqueue_save(filename, content), enqueue_upload(filename, service), dequeue_with_timeout(). Use _thread.allocate_lock() for queue access protection. Implement SaveOperation and UploadOperation data classes to encapsulate operation details. Add priority levels: CRITICAL (user-initiated save), HIGH (auto-save), LOW (background upload). Queue max size: 10 operations with overflow handling. Location: create new file master_queue.py in rpi1/ directory. Include unit tests for concurrent access patterns.",2025-10-15,2025-10-15,Medium,
TASK-010,Implement thread-safe queue system for Slave Pico inter-core communication,Pending,Core Developer,High,TASK-006,"Implement DisplayCommandQueue class with methods: enqueue_render(text, cursor_pos, priority), enqueue_power(state), dequeue_with_timeout(). Use _thread.allocate_lock() for queue access protection. Implement DisplayCommand data class with command type, payload, priority, timestamp. Add intelligent deduplication: collapse multiple RENDER_TEXT commands if newer one supersedes. Queue max size: 5 commands (display is slow, deep queue not helpful). Location: create new file slave_queue.py in rpi2/ directory. Include command aging and priority boost for old commands.",2025-10-15,2025-10-15,Medium,
